date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:51:13	19032/19032	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2001%20Mar%202020%2010:17:14%20GMT	https://www.mcadventuretime.com/dc/js/popper.min.js	C:/My%20Web%20Sites/mc-at%20sitesi/www.mcadventuretime.com/dc/js/popper.min.js	(from https://www.mcadventuretime.com/dc/)
10:51:14	50676/50676	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2001%20Mar%202020%2010:17:12%20GMT	https://www.mcadventuretime.com/dc/js/bootstrap.min.js	C:/My%20Web%20Sites/mc-at%20sitesi/www.mcadventuretime.com/dc/js/bootstrap.min.js	(from https://www.mcadventuretime.com/dc/)
10:51:14	3601/3601	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2001%20Mar%202020%2010:17:13%20GMT	https://www.mcadventuretime.com/dc/js/jquery.easing.1.3.js	C:/My%20Web%20Sites/mc-at%20sitesi/www.mcadventuretime.com/dc/js/jquery.easing.1.3.js	(from https://www.mcadventuretime.com/dc/)
10:51:14	8835/8835	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2001%20Mar%202020%2010:17:14%20GMT	https://www.mcadventuretime.com/dc/js/jquery.waypoints.min.js	C:/My%20Web%20Sites/mc-at%20sitesi/www.mcadventuretime.com/dc/js/jquery.waypoints.min.js	(from https://www.mcadventuretime.com/dc/)
10:51:14	12597/12597	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2001%20Mar%202020%2010:17:13%20GMT	https://www.mcadventuretime.com/dc/js/jquery.stellar.min.js	C:/My%20Web%20Sites/mc-at%20sitesi/www.mcadventuretime.com/dc/js/jquery.stellar.min.js	(from https://www.mcadventuretime.com/dc/)
10:51:14	43237/43237	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2001%20Mar%202020%2010:17:14%20GMT	https://www.mcadventuretime.com/dc/js/owl.carousel.min.js	C:/My%20Web%20Sites/mc-at%20sitesi/www.mcadventuretime.com/dc/js/owl.carousel.min.js	(from https://www.mcadventuretime.com/dc/)
10:51:15	20216/20216	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2001%20Mar%202020%2010:17:13%20GMT	https://www.mcadventuretime.com/dc/js/jquery.magnific-popup.min.js	C:/My%20Web%20Sites/mc-at%20sitesi/www.mcadventuretime.com/dc/js/jquery.magnific-popup.min.js	(from https://www.mcadventuretime.com/dc/)
10:51:15	14212/14212	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2001%20Mar%202020%2010:17:12%20GMT	https://www.mcadventuretime.com/dc/js/aos.js	C:/My%20Web%20Sites/mc-at%20sitesi/www.mcadventuretime.com/dc/js/aos.js	(from https://www.mcadventuretime.com/dc/)
10:51:15	1391/1391	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2001%20Mar%202020%2010:17:13%20GMT	https://www.mcadventuretime.com/dc/js/jquery.animateNumber.min.js	C:/My%20Web%20Sites/mc-at%20sitesi/www.mcadventuretime.com/dc/js/jquery.animateNumber.min.js	(from https://www.mcadventuretime.com/dc/)
10:51:15	33269/33269	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2001%20Mar%202020%2010:17:12%20GMT	https://www.mcadventuretime.com/dc/js/bootstrap-datepicker.js	C:/My%20Web%20Sites/mc-at%20sitesi/www.mcadventuretime.com/dc/js/bootstrap-datepicker.js	(from https://www.mcadventuretime.com/dc/)
